Feature,Importance
S1_Light,0.1931648961652589
S2_Light,0.12124856746716843
S5_CO2_Slope,0.10476533893132656
S1_Sound,0.0972155756324741
S3_Light,0.07364132049729114
S3_Sound,0.06844742174138192
S2_Sound,0.05358847104022242
S5_CO2,0.03888397976448871
S1_Temp,0.03814866640681422
S2_Temp,0.0358428183290228
S3_Temp,0.03544990412157939
S4_Light,0.030427380571881043
S4_Sound,0.018592342235495017
Hour,0.016479998890542136
S4_Temp,0.013174598324903107
S6_PIR,0.011557431184137292
Day,0.011059145753011108
S7_PIR,0.010902499193206436
DayOfWeek,0.008344839651815148
Month,0.00745416515017475
Year,0.006332593483543563
Minute,0.00380751847710123
Second,0.0014705269871605128
